steamspy_tags,sum(positive_ratings),sum(negative_ratings),percentage
Match 3,15742.0,4258,0.7871
Dystopian,8448.0,941,0.8997763340078816
Tennis,2100.0,473,0.8161678973960358
Difficult,416293.0,42461,0.9074427688913884
Runner,2793.0,586,0.826575910032554
Strategy RPG,2839.0,375,0.8833229620410703
City Builder,210072.0,46074,0.8201260218781476
Education,19275.0,3548,0.8445427857862683
Crime,65048.0,19987,0.7649556065149644
Action RPG,165451.0,15992,0.9118621275000964
Massively Multiplayer,406020.0,212530,0.6564061110662032
Hunting,101142.0,55814,0.6443971558908229
CRPG,173.0,93,0.650375939849624
Romance,3311.0,422,0.8869541923386016
Magic,9787.0,3332,0.7460172269227837
Mystery Dungeon,46.0,11,0.8070175438596491
Destruction,64257.0,25488,0.7159953200735417
Isometric,23735.0,5110,0.8228462471832206
Top-Down,15809.0,1857,0.8948828257670101
Dinosaurs,70422.0,24870,0.7390127188011586
Science,249.0,76,0.7661538461538462
Thriller,326.0,31,0.9131652661064426
Golf,2571.0,1447,0.6398705823792932
Batman,110005.0,22043,0.833068278201866
Cold War,3620.0,954,0.7914298207258417
In-App Purchases,,0,
1980s,20487.0,2335,0.8976864429059679
Sexual Content,215688.0,30713,0.8753535902857537
On-Rails Shooter,3775.0,1024,0.7866222129610335
Replay Value,116152.0,3785,0.9684417652600948
Heist,474.0,214,0.688953488372093
Faith,1845.0,109,0.9442169907881269
Cult Classic,22130.0,4117,0.8431439783594316
4X,24194.0,7304,0.7681122610959426
Turn-Based Strategy,324921.0,68492,0.8259030586177885
Fast-Paced,24184.0,2014,0.9231239025879838
Typing,6552.0,647,0.9101264064453396
Crafting,306814.0,77842,0.7976321700428435
Cartoony,95.0,12,0.8878504672897196
Time Attack,105.0,13,0.8898305084745762
Third Person,50955.0,10140,0.834028971274245
Twin Stick Shooter,23317.0,2799,0.8928243222545565
Party-Based RPG,1832.0,173,0.913715710723192
Sailing,10.0,0,1.0
Competitive,64053.0,18918,0.7719926239288426
Memes,105816.0,20884,0.8351696921862668
Lovecraftian,14586.0,4011,0.7843200516212292
e-sports,12.0,19,0.3870967741935484
Relaxing,44725.0,3809,0.9215189351794618
JRPG,137221.0,24806,0.8469020595332877
Management,205891.0,46066,0.8171672150406617
Controller,1633.0,160,0.9107640825432236
Motocross,2457.0,939,0.7234982332155477
Medieval,309447.0,86708,0.7811260743900746
Hand-drawn,1855.0,187,0.9084231145935358
Adventure,2023543.0,376635,0.8430803882045415
Underwater,6609.0,2243,0.7466109353818347
Rogue-like,395093.0,28600,0.9324982947558728
Stealth,329867.0,53337,0.8608130395298588
Arcade,63199.0,12022,0.8401776099759376
Space Sim,26777.0,11217,0.704769174080118
Basketball,18238.0,26408,0.4085024414281235
MOBA,930972.0,159850,0.8534591344875699
Top-Down Shooter,8268.0,1708,0.8287890938251804
Sokoban,955.0,94,0.9103908484270734
4 Player Local,1132.0,346,0.7658998646820027
Martial Arts,27335.0,6129,0.8168479560124313
Conversation,88.0,9,0.9072164948453608
Sports,175856.0,82225,0.6813984756723664
2D Fighter,52830.0,6667,0.8879439299460476
Exploration,392738.0,123295,0.7610714818625941
Bikes,619.0,421,0.5951923076923077
World War II,403316.0,124789,0.7637041876142056
Investigation,75.0,21,0.78125
Mars,1233.0,800,0.6064928676832267
Capitalism,40208.0,4411,0.9011407696272888
Dating Sim,44457.0,4092,0.9157140208861151
Survival,2946049.0,1126652,0.7233649118852574
Battle Royale,121502.0,48162,0.7161330629950962
Drama,3866.0,371,0.9124380457871135
Psychedelic,742.0,219,0.7721123829344433
Audio Production,1151.0,413,0.7359335038363172
Souls-like,53491.0,14284,0.7892438214680929
Military,184952.0,27134,0.8720613336099506
Multiple Endings,5567.0,375,0.9368899360484685
Old School,141.0,55,0.7193877551020408
Class-Based,494.0,198,0.7138728323699421
War,136331.0,27520,0.8320425264417062
Mining,7665.0,2349,0.7654284002396645
Family Friendly,5944.0,1460,0.8028092922744462
Documentary,1724.0,339,0.8356761997091614
Action-Adventure,589.0,240,0.7104945717732207
Video Production,20304.0,2521,0.8895509309967141
Split Screen,1974.0,337,0.8541756815231502
Cartoon,39139.0,1805,0.9559153966393122
Nonlinear,34.0,10,0.7727272727272727
Wargame,1475.0,430,0.7742782152230971
VR Only,1094.0,436,0.7150326797385621
Bullet Hell,57556.0,5154,0.9178121511720618
Trading,1516.0,729,0.6752783964365257
VR,107018.0,18779,0.8507198104883265
