developer,avg(price)
11 bit studios,10.775714124952044
Ino-Co Plus,13.739999771118164
Harvester Games,7.190000057220459
Axis Game Factory LLC,7.190000057220459
Double Damage Games,14.989999771118164
Shindenken;EXTREME,3.990000009536743
Mykhail Konokh,3.1149999648332596
DM Media;Dark Computer Entertainment Ltd.,2.0899999141693115
Raxi Petrov,0.7900000214576721
Morozov Sergey,11.390000343322754
Lohika Games,3.990000009536743
Remedy,3.990000009536743
Benjamin Famiglietti,1.590000033378601
SIEIDI Ltd,7.456666707992554
Capribyte Studios,5.789999961853027
Raspina Studio,10.989999771118164
The Game Species,6.989999771118164
Spytihnv,2.290000081062317
"Alzan Studios, LLC",12.739999771118164
Pedro Zea,4.989999771118164
Schmidt Workshops,1.9149999916553497
Twisted Jenius,3.990000009536743
IR Studio,0.7900000214576721
Gabhel Games,1.9900000095367432
Mugurel-Adrian Enache;Diana Marin,3.990000009536743
Tainted Games,0.7900000214576721
Amazu Media,6.989999771118164
Paper Pirates,3.0900000731150308
Spotlightor Interactive,11.390000343322754
Notus Games Ltd,6.899090961976484
MissingNo Studio,6.989999771118164
Wraith Studio,4.789999961853027
Slikey Games,3.990000009536743
Drift Physics Crew,10.989999771118164
Studio Mori,0.0
"Coremedia,inc.",2.0899999141693115
GCTV DevTeam,5.989999771118164
Flaming Bat Studios;Bareware Studios,2.890000104904175
Adage Games,3.990000009536743
Delattre & Harger,7.190000057220459
suxamethonium,7.190000057220459
Alex's Granny,0.7900000214576721
Stevemata,3.990000009536743
Joseph MacDonald,3.990000009536743
RCMADIAX,3.0399999618530273
DanD,2.890000104904175
WoksOnStudios,4.389999985694885
Coduar,13.489999771118164
Ursine,0.0
Planet X Game Studios,3.990000009536743
Afrosquared LLC,1.690000057220459
SashaNyasha,0.7900000214576721
MasterCode;Dueking,0.0
Matthew Collins,7.190000057220459
Namo Gamo,7.190000057220459
FairyPeople,0.0
Cagri Gecin,1.690000057220459
PETABYTE GM,1.690000057220459
SMILEAXE,5.190000057220459
MadOptimist Games,2.0899999141693115
EnchantedLands,4.789999961853027
Your Daily Fill,11.390000343322754
Matt Workman,69.98999786376953
Labrodex Inc,15.489999771118164
terakorp,7.190000057220459
Kotsurenko Vitaliy,0.7900000214576721
Lucid Silence Games,7.190000057220459
Storming Tech,6.690000057220459
LT,0.0
Myrrh creative,1.7999999523162842
IKIGames,7.190000057220459
Giant Light Studios,1.690000057220459
Marco S. Hampel,0.0
Eidos Studio Hungary,6.989999771118164
Team17 Digital Ltd,10.81499981880188
Zaratustra Productions,3.990000009536743
City Interactive S.A.,3.990000009536743
Awem Studio,6.989999771118164
bitComposer Games,7.190000057220459
I Sioux Game Productions B.V.,10.389999866485596
Ty Taylor and Mario Castaeda;The Quantum Astrophysicists Guild,6.989999771118164
Rocket Bear Games,11.390000343322754
ACQUIRE Corp.,12.639999836683273
Andrew Morrish,6.289999961853027
Nifflas' Games,4.989999771118164
Flippfly LLC,7.0899999141693115
StarQuail Games,22.989999771118164
Sproing,8.75
Pixel Night,14.989999771118164
Heart Shaped Games LLC,7.889999866485596
"Vermont Software Studios,LLC",18.989999771118164
Traptics,5.989999890327454
4Realms,5.590000152587891
Wonderstruck,23.99000072479248
Image Space Incorporated,18.989999771118164
Great Cogs,1.9900000095367432
Big Green Pillow,6.989999771118164
LW Games,7.139999985694885
Dolores Entertainment,1.9900000095367432
Perro Electrico,0.0
Jolly Crouton Media Ltd.,7.190000057220459
Bit Juggler,1.690000057220459
KBJGames,10.989999771118164
Sketchy Logic,10.989999771118164
McMagic Productions s.r.o.,14.989999771118164
the whale husband,1.3949999809265137
Bulbware,5.989999771118164
"Marvelous, Inc.",12.989999771118164
CleanWaterSoft,6.823333342870076
Tabletopia Inc.,0.0
From Nothing Game Studios,2.7899999618530273
The Secret Games Company,10.989999771118164
Weappy Studio,13.989999771118164
Lunisky studio,3.990000009536743
Screeps,10.989999771118164
Biodrone Studios,0.0
Performance Simulations,18.989999771118164
Aleph=Null,0.7900000214576721
SmartVR Studio,3.990000009536743
Chris_Antoni,0.7900000214576721
Kodansha;Polygon Pictures Inc.;Lantis,4.323333263397217
Flying Islands Team,3.123333295186361
"Warrior General Games, LLC",2.0899999141693115
Lukas Rustemeyer,10.989999771118164
Child-Dream,2.890000104904175
Upineleed,4.789999961853027
ThinkOfGames;The Storytelling Studio,2.7899999618530273
Team Seven,0.0
Crew Lab,0.7900000214576721
Tunnel Vision Studio,3.840000033378601
Pixel Perfect Dude,3.990000009536743
Agar3s,1.9900000095367432
Evradan,3.190000057220459
Distorted Games,3.990000009536743
Evan Davis;Bryce Davis;Gehrig Gosselin,0.0
Minibeast LLC,15.489999771118164
Deep Dive Interactive,9.739999890327454
Tyler Stansfield Jaggers,0.7900000214576721
Nitreal,9.989999771118164
nohoho (Individual),0.0
TotalDistraction,5.590000152587891
Nitrous Butterfly,15.489999771118164
HZ3 Software,3.990000009536743
bad monkee,0.0
Step Dad Productions,0.7900000214576721
Chronik Spartan,3.990000009536743
BloodyStation,1.690000057220459
Underdog Interactive;Squadron Interactive;DreamInCode B.V.,0.7900000214576721
Little Maxima LLC,0.0
The Most,2.3900000154972076
Wonderbox Games,3.7100000540415445
Norain Games.;JanduSoft S.L.,0.0
invwindy,0.7900000214576721
UglyCake Games,2.0899999141693115
Tom Adams;Craig Burgess,7.190000057220459
ImperiumGame,1.090000033378601
Wamill,7.190000057220459
Ace Of Spades Studios,19.489999771118164
Dan H,1.690000057220459
Mika Molenkamp,0.0
Mindfog games,3.990000009536743
Bip Media,7.190000057220459
David Seifers,2.990000009536743
