Genero,avg(Precio)
Accounting;Animation & Modeling;Audio Production;Design & Illustration;Education;Photo Editing;Software Training;Utilities;Video Production;Web Publishing,11.390000343322754
Accounting;Education;Software Training;Utilities;Early Access,0.0
Action,8.43574522084337
Action;Adventure,11.939431151230178
Action;Adventure;Casual,4.897241350905649
Action;Adventure;Casual;Free to Play;Early Access,0.0
Action;Adventure;Casual;Free to Play;Indie,0.0
Action;Adventure;Casual;Free to Play;Indie;Early Access,0.0
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer,0.0
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;Early Access,0.0
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;RPG;Early Access,0.0
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;RPG;Simulation,0.0
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;Racing;RPG;Simulation;Sports;Strategy,7.423333326975505
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;Racing;Simulation;Sports;Early Access,0.0
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;Simulation;Strategy,0.0
Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;Strategy,0.0
Action;Adventure;Casual;Free to Play;Indie;RPG,0.2633333404858907
Action;Adventure;Casual;Free to Play;Indie;RPG;Early Access,0.0
Action;Adventure;Casual;Free to Play;Indie;RPG;Simulation;Sports;Strategy,0.7900000214576721
Action;Adventure;Casual;Free to Play;Indie;RPG;Simulation;Strategy,0.0
Action;Adventure;Casual;Free to Play;Indie;RPG;Strategy,0.0
Action;Adventure;Casual;Free to Play;Indie;RPG;Strategy;Early Access,0.0
Action;Adventure;Casual;Free to Play;Indie;Racing;RPG;Simulation;Sports,2.9925000071525574
Action;Adventure;Casual;Free to Play;Indie;Racing;RPG;Simulation;Strategy,0.0
Action;Adventure;Casual;Free to Play;Indie;Simulation,0.0
Action;Adventure;Casual;Free to Play;Indie;Simulation;Early Access,0.0
Action;Adventure;Casual;Free to Play;Indie;Simulation;Strategy,0.0
Action;Adventure;Casual;Free to Play;Massively Multiplayer,0.0
Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG,0.0
Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG;Simulation,0.0
Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG;Simulation;Strategy,0.0
Action;Adventure;Casual;Free to Play;Massively Multiplayer;Racing;RPG;Simulation,0.0
Action;Adventure;Casual;Free to Play;Massively Multiplayer;Simulation;Sports,0.0
Action;Adventure;Casual;Free to Play;Massively Multiplayer;Simulation;Sports;Strategy,0.0
Action;Adventure;Casual;Free to Play;Massively Multiplayer;Sports;Early Access,0.0
Action;Adventure;Casual;Free to Play;RPG;Strategy,0.0
Action;Adventure;Casual;Free to Play;Racing;Simulation;Sports,0.0
Action;Adventure;Casual;Indie,3.820043738613504
Action;Adventure;Casual;Indie;Early Access,5.170185192867562
Action;Adventure;Casual;Indie;Massively Multiplayer,5.0042857101985385
Action;Adventure;Casual;Indie;Massively Multiplayer;Early Access,7.356666584809621
Action;Adventure;Casual;Indie;Massively Multiplayer;RPG,1.690000057220459
Action;Adventure;Casual;Indie;Massively Multiplayer;RPG;Simulation;Strategy;Early Access,15.489999771118164
Action;Adventure;Casual;Indie;Massively Multiplayer;RPG;Strategy;Early Access,15.489999771118164
Action;Adventure;Casual;Indie;Massively Multiplayer;Racing;RPG;Simulation;Sports;Strategy,1.89000004529953
Action;Adventure;Casual;Indie;Massively Multiplayer;Simulation,2.9233333667119346
