developer,avg(average_playtime)
11 bit studios,358.7142857142857
Ino-Co Plus,28.75
Harvester Games,114.5
Axis Game Factory LLC,198.0
Double Damage Games,618.0
Shindenken;EXTREME,212.0
Mykhail Konokh,63.875
DM Media;Dark Computer Entertainment Ltd.,0.0
Raxi Petrov,0.0
Morozov Sergey,0.0
Lohika Games,0.0
Remedy,22.0
Benjamin Famiglietti,0.0
SIEIDI Ltd,111.66666666666667
Capribyte Studios,0.0
Raspina Studio,0.0
The Game Species,0.0
Spytihnv,0.0
"Alzan Studios, LLC",81.0
Pedro Zea,0.0
Schmidt Workshops,0.0
Twisted Jenius,0.0
IR Studio,166.5
Gabhel Games,0.0
Mugurel-Adrian Enache;Diana Marin,0.0
Tainted Games,0.0
Amazu Media,0.0
Paper Pirates,167.66666666666666
Spotlightor Interactive,0.0
Notus Games Ltd,0.0
MissingNo Studio,0.0
Wraith Studio,0.0
Slikey Games,0.0
Drift Physics Crew,16.0
Studio Mori,0.0
"Coremedia,inc.",0.0
GCTV DevTeam,0.0
Flaming Bat Studios;Bareware Studios,0.0
Adage Games,0.0
Delattre & Harger,0.0
suxamethonium,0.0
Alex's Granny,0.0
Stevemata,0.0
Joseph MacDonald,0.0
RCMADIAX,0.0
DanD,57.0
WoksOnStudios,0.0
Coduar,0.0
Ursine,0.0
Planet X Game Studios,0.0
Afrosquared LLC,0.0
SashaNyasha,0.0
MasterCode;Dueking,72.0
Matthew Collins,0.0
Namo Gamo,0.0
FairyPeople,0.0
Cagri Gecin,0.0
PETABYTE GM,0.0
SMILEAXE,0.0
MadOptimist Games,0.0
EnchantedLands,0.0
Your Daily Fill,0.0
Matt Workman,0.0
Labrodex Inc,0.0
terakorp,0.0
Kotsurenko Vitaliy,0.0
Lucid Silence Games,0.0
Storming Tech,0.0
LT,0.0
Myrrh creative,0.0
IKIGames,0.0
Giant Light Studios,0.0
Marco S. Hampel,0.0
Eidos Studio Hungary,132.0
Team17 Digital Ltd,183.5625
Zaratustra Productions,466.0
City Interactive S.A.,0.0
Awem Studio,0.0
bitComposer Games,12.0
I Sioux Game Productions B.V.,193.5
Ty Taylor and Mario Castaeda;The Quantum Astrophysicists Guild,129.0
Rocket Bear Games,2974.0
ACQUIRE Corp.,306.0
Andrew Morrish,58.0
Nifflas' Games,228.0
Flippfly LLC,86.0
StarQuail Games,0.0
Sproing,0.0
Pixel Night,0.0
Heart Shaped Games LLC,0.0
"Vermont Software Studios,LLC",0.0
Traptics,1.5
4Realms,13.0
Wonderstruck,27857.0
Image Space Incorporated,0.0
Great Cogs,0.0
Big Green Pillow,226.0
LW Games,106.0
Dolores Entertainment,0.0
Perro Electrico,0.0
Jolly Crouton Media Ltd.,0.0
Bit Juggler,331.0
KBJGames,0.0
Sketchy Logic,242.0
McMagic Productions s.r.o.,654.0
the whale husband,6.5
Bulbware,0.0
"Marvelous, Inc.",0.0
CleanWaterSoft,91.0
Tabletopia Inc.,96.0
From Nothing Game Studios,0.0
The Secret Games Company,0.0
Weappy Studio,292.0
Lunisky studio,122.0
Screeps,38805.0
Biodrone Studios,0.0
Performance Simulations,0.0
Aleph=Null,0.0
SmartVR Studio,0.0
Chris_Antoni,0.0
Kodansha;Polygon Pictures Inc.;Lantis,0.0
Flying Islands Team,0.3333333333333333
"Warrior General Games, LLC",0.0
Lukas Rustemeyer,1683.0
Child-Dream,0.0
Upineleed,0.0
ThinkOfGames;The Storytelling Studio,241.0
Team Seven,0.0
Crew Lab,44.083333333333336
Tunnel Vision Studio,0.0
Pixel Perfect Dude,0.0
Agar3s,302.0
Evradan,313.0
Distorted Games,0.0
Evan Davis;Bryce Davis;Gehrig Gosselin,1.0
