steamspy_tags,avg(average_playtime)
Match 3,30.596638655462186
Dystopian,228.0
Tennis,284.57142857142856
Difficult,338.78823529411767
Runner,65.21428571428571
Strategy RPG,336.0
City Builder,363.4225352112676
Education,106.61904761904762
Crime,315.0833333333333
Action RPG,730.0
Massively Multiplayer,767.6604774535809
Hunting,994.6923076923077
CRPG,114.0
Romance,32.857142857142854
Magic,292.09090909090907
Mystery Dungeon,0.0
Destruction,264.1904761904762
Isometric,253.05
Top-Down,93.13636363636364
Dinosaurs,211.41176470588235
Science,0.0
Thriller,0.0
Golf,106.5
Batman,673.2222222222222
Cold War,183.27272727272728
In-App Purchases,1567.0
1980s,138.33333333333334
Sexual Content,67.79174147217235
On-Rails Shooter,27.1
Replay Value,1072.0
Heist,463.0
Faith,22.0
Cult Classic,99.42857142857143
4X,117.70270270270271
Turn-Based Strategy,541.8543689320388
Fast-Paced,61.388888888888886
Typing,86.33333333333333
Crafting,1168.6521739130435
Cartoony,0.0
Time Attack,0.0
Third Person,144.28
Twin Stick Shooter,61.34090909090909
Party-Based RPG,76.33333333333333
Sailing,0.0
Competitive,310.5
Memes,161.33333333333334
Lovecraftian,55.88461538461539
e-sports,0.0
Relaxing,23.47826086956522
JRPG,583.7446808510638
Management,507.73275862068965
Controller,102.33333333333333
Motocross,119.22222222222223
Medieval,768.2549019607843
Hand-drawn,28.2
Adventure,101.99111969111969
Underwater,67.76923076923077
Rogue-like,497.91346153846155
Stealth,366.6774193548387
Arcade,120.7487684729064
Space Sim,568.125
Basketball,1404.7777777777778
MOBA,2120.4615384615386
Top-Down Shooter,69.11111111111111
Sokoban,2.8
4 Player Local,6.795454545454546
Martial Arts,1073.8333333333333
Conversation,0.0
Sports,110.50704225352112
2D Fighter,300.4390243902439
Exploration,252.43636363636364
Bikes,213.5
World War II,440.1
Investigation,298.0
Mars,8.333333333333334
Capitalism,877.75
Dating Sim,174.33333333333334
Survival,776.1276595744681
Battle Royale,145.25
Drama,19.5
Psychedelic,1.3571428571428572
Audio Production,3.25
Souls-like,590.0833333333334
Military,2095.4210526315787
Multiple Endings,34.6
Old School,0.0
Class-Based,0.0
War,649.44
Mining,66.0
Family Friendly,20.53488372093023
Documentary,72.66666666666667
Action-Adventure,36.0
Video Production,38.193548387096776
Split Screen,32.8
Cartoon,310.0
Nonlinear,0.0
Wargame,38.5
VR Only,0.64
Bullet Hell,129.79166666666666
Trading,87.625
VR,10.895941727367326
Hex Grid,45.90909090909091
Mini Golf,384.85714285714283
Team-Based,91.66666666666667
Lara Croft,907.25
Animation & Modeling,17.25925925925926
Turn-Based,366.6198830409357
Atmospheric,174.04705882352943
Moddable,0.0
Racing,139.5346405228758
Metroidvania,192.53571428571428
Programming,1615.3846153846155
Benchmark,0.0
Level Editor,1619.6666666666667
Kickstarter,57.0
Grand Strategy,1019.0909090909091
Detective,127.9047619047619
Resource Management,2155.4
Gore,76.27731092436974
Multi-player,1567.0
Stylized,0.0
Hacking,237.65
Ninja,150.3846153846154
Colorful,0.0
Philisophical,66.0
Dungeon Crawler,184.8
Voxel,0.0
