name,avg_total_playtime
Dota 2,3.5916E12
PLAYERUNKNOWN'S BATTLEGROUNDS,1.72035E12
Counter-Strike: Global Offensive,1.68705E12
Team Fortress 2,2.97325E11
Counter-Strike,2.6418E11
Warframe,2.04575E11
Garry's Mod,1.8633E11
Grand Theft Auto V,1.47555E11
Unturned,1.1368E11
The Elder Scrolls V: Skyrim,1.06335E11
ARK: Survival Evolved,1.06155E11
Counter-Strike: Source,1.0263E11
Path of Exile,7.8945E10
Clicker Heroes,7.3065E10
Rust,7.014E10
Arma 3,6.58805E10
War Thunder,6.3E10
PAYDAY 2,5.9625E10
Tom Clancy's Rainbow Six Siege,5.628E10
MONSTER HUNTER: WORLD,4.884E10
Z1 Battle Royale,4.713E10
Dead by Daylight,4.428E10
Rocket League,4.36875E10
FINAL FANTASY XIV Online,4.33455E10
Terraria,4.18875E10
Euro Truck Simulator 2,3.7065E10
Fallout 4,3.6165E10
Sid Meier's Civilization V,3.57E10
The Banner Saga: Factions,3.333575E10
Kerbal Space Program,3.22805E10
Counter-Strike Nexon: Zombies,3.03525E10
Arma 2: Operation Arrowhead,2.9708E10
Football Manager 2018,2.90685E10
APB Reloaded,2.87625E10
Mount & Blade: Warband,2.7762E10
Heroes & Generals,2.628E10
DayZ,2.53225E10
Borderlands 2,2.457E10
Left 4 Dead 2,2.4225E10
Cities: Skylines,2.41875E10
Paladins,2.3925E10
Black Desert Online,2.32605E10
The Witcher 3: Wild Hunt,2.301E10
Survarium,2.29915E10
PRICE,2.221835E10
Robocraft,2.0535E10
Double Action: Boogaloo,2.0482E10
Total War: ROME II - Emperor Edition,2.016E10
No More Room in Hell,1.99575E10
Trove,1.9515E10
Champions Online,1.9428E10
World of Tanks Blitz MMO,1.7661E10
The Sims 3,1.6555E10
Portal 2,1.653E10
Star Conflict,1.61805E10
The Binding of Isaac: Rebirth,1.60405E10
The Elder Scrolls Online,1.59885E10
Iron Snout,1.59705E10
Heroine's Quest: The Herald of Ragnarok,1.593525E10
Factorio,1.51305E10
Tom Clancys The Division,1.4882E10
DARK SOULS III,1.4777E10
SMITE,1.4655E10
RIFT,1.4364E10
The Abbey of Crime Extensum,1.4296875E10
The Secret of Tremendous Corporation,1.42863E10
Warface,1.4235E10
Hearts of Iron IV,1.41195E10
Black Squad,1.37625E10
Cry of Fear,1.3405E10
Space Engineers,1.30865E10
Wallpaper Engine,1.29825E10
Starbound,1.2446E10
Realm of the Mad God,1.23585E10
SNOW,1.227E10
Europa Universalis IV,1.2207E10
Eternal Senia,1.197075E10
Serena,1.1943E10
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",1.193025E10
Sid Meiers Civilization VI,1.17985E10
Age of Empires II HD,1.17675E10
Creativerse,1.1522E10
Total War: EMPIRE  Definitive Edition,1.1116E10
Duelyst,1.0965E10
Brawlhalla,1.086E10
Fistful of Frags,1.07765E10
Spooky's Jump Scare Mansion,1.06965E10
DC Universe Online,1.0465E10
Killing Floor 2,1.03845E10
Half-Life 2,1.0365E10
7 Days to Die,1.03355E10
Divinity: Original Sin 2 - Definitive Edition,1.0283E10
Day of Defeat: Source,1.017E10
Stardew Valley,1.0038E10
Half-Life,9.75E9
Boring Man - Online Tactical Stickman Combat,9.738E9
DEAD OR ALIVE 5 Last Round: Core Fighters,9.69525E9
AdVenture Capitalist,9.6145E9
You Have to Win the Game,9.59025E9
Stellaris,9.5515E9
Neverwinter,9.5475E9
Call of Duty: Black Ops,9.352E9
Fallout: New Vegas,8.6975E9
The Elder Scrolls V: Skyrim Special Edition,8.463E9
The Forest,8.4595E9
Geometry Dash,8.319E9
DCS World Steam Edition,8.2005E9
Don't Starve Together,8.025E9
PlanetSide 2,7.8825E9
EVE Online,7.6845E9
RimWorld,7.5255E9
Call of Duty: Modern Warfare 2,7.4925E9
MANDAGON,7.43155E9
Tree of Savior (English Ver.),7.4165E9
The Desolate Hope,7.4088E9
Call of Duty: Black Ops III,7.3875E9
Just Cause 3,7.301E9
Sekiro: Shadows Die Twice,7.2065E9
Dying Light,7.1155E9
Warhammer: Vermintide 2,7.0875E9
Total War: WARHAMMER II,7.0815E9
Elite Dangerous,6.8175E9
Left 4 Dead,6.7275E9
X-Plane 11,6.62535E9
Magic Duels,6.489E9
The Binding of Isaac,6.4715E9
Saints Row: The Third,6.468E9
Company of Heroes 2,6.461E9
Counter-Strike: Condition Zero,6.405E9
Idle Champions of the Forgotten Realms,6.381E9
