steamspy_tags,avg(price)
Match 3,5.096470588235299
Dystopian,6.015000000000001
Tennis,13.840714285714288
Difficult,12.380000000000003
Runner,2.9728571428571433
Strategy RPG,12.99
City Builder,12.814647887323947
Education,6.2877380952380975
Crime,12.089999999999998
Action RPG,10.650500000000001
Massively Multiplayer,3.8972148541114087
Hunting,17.236923076923077
CRPG,13.190000000000001
Romance,7.304285714285716
Magic,7.33909090909091
Mystery Dungeon,3.99
Destruction,12.242380952380957
Isometric,8.991
Top-Down,5.608636363636363
Dinosaurs,8.245588235294118
Science,2.2925
Thriller,7.745
Golf,11.083571428571428
Batman,13.657777777777776
Cold War,10.044545454545455
In-App Purchases,8.0
1980s,8.256666666666666
Sexual Content,6.3159964093357015
On-Rails Shooter,5.4799999999999995
Replay Value,4.008333333333334
Heist,10.99
Faith,7.991428571428571
Cult Classic,5.475714285714287
4X,14.498918918918923
Turn-Based Strategy,11.918640776699037
Fast-Paced,5.695555555555554
Typing,5.591666666666666
Crafting,11.59086956521739
Cartoony,10.156666666666666
Time Attack,7.745
Third Person,8.602
Twin Stick Shooter,6.619772727272729
Party-Based RPG,9.656666666666666
Sailing,7.19
Competitive,9.542499999999999
Memes,3.51448717948718
Lovecraftian,9.278846153846153
e-sports,3.495
Relaxing,3.8380434782608672
JRPG,19.74968085106383
Management,11.786637931034488
Controller,4.89
Motocross,18.19
Medieval,9.99509803921569
Hand-drawn,7.580000000000001
Adventure,5.687862015703676
Underwater,5.982307692307694
Rogue-like,7.398461538461543
Stealth,10.84612903225807
Arcade,5.777684729064042
Space Sim,13.840000000000002
Basketball,20.124444444444443
MOBA,1.4292307692307693
Top-Down Shooter,5.524074074074075
Sokoban,2.9300000000000006
4 Player Local,5.788181818181818
Martial Arts,13.975
Conversation,5.99
Sports,9.282394366197083
2D Fighter,14.36585365853659
Exploration,11.204545454545457
Bikes,10.206666666666667
World War II,11.793923076923079
Investigation,10.99
Mars,8.758333333333335
Capitalism,5.442500000000001
Dating Sim,9.423939393939394
Survival,10.91876595744678
Battle Royale,6.077499999999998
Drama,3.115
Psychedelic,4.385
Audio Production,12.826000000000002
Souls-like,19.22416666666667
Military,13.175789473684212
Multiple Endings,7.35
Old School,3.8150000000000004
Class-Based,5.890000000000001
War,12.010400000000002
Mining,8.74
Family Friendly,6.303139534883723
Documentary,3.39
Action-Adventure,5.39
Video Production,10.245161290322581
Split Screen,11.450000000000001
Cartoon,10.99
Nonlinear,6.99
Wargame,17.918333333333337
VR Only,4.2832
Bullet Hell,6.348645833333336
Trading,7.402500000000001
VR,6.200603537981205
Hex Grid,13.59909090909091
Mini Golf,6.62
Team-Based,7.656666666666666
